iter	Passed	Remaining
0	57	11482
1	57	5735
2	58	3816
3	58	2856
4	58	2280
5	58	1897
6	58	1622
7	59	1417
8	59	1256
9	59	1128
10	59	1024
11	59	936
12	60	863
13	60	799
14	60	744
15	60	696
16	60	653
17	60	615
18	61	581
19	61	551
20	61	523
21	61	498
22	61	475
23	61	454
24	62	434
25	62	416
26	62	400
27	62	384
28	62	370
29	62	356
30	63	344
31	63	332
32	63	321
33	63	310
34	63	300
35	63	291
36	64	282
37	64	274
38	64	266
39	64	258
40	64	251
41	64	244
42	65	237
43	65	231
44	65	225
45	65	219
46	65	214
47	65	208
48	66	203
49	66	198
50	66	194
51	66	189
52	66	185
53	66	181
54	67	176
55	67	172
56	67	169
57	67	165
58	67	161
59	67	158
60	68	155
61	68	151
62	68	148
63	68	145
64	68	142
65	68	139
66	69	137
67	69	134
68	69	131
69	69	129
70	69	126
71	69	124
72	70	121
73	70	119
74	70	117
75	70	115
76	70	112
77	70	110
78	71	108
79	71	106
80	71	104
81	71	102
82	71	101
83	71	99
84	72	97
85	72	95
86	72	93
87	72	92
88	72	90
89	72	89
90	73	87
91	73	85
92	73	84
93	73	82
94	73	81
95	73	80
96	74	78
97	74	77
98	74	75
99	74	74
100	74	73
101	74	71
102	75	70
103	75	69
104	75	68
105	75	67
106	75	65
107	75	64
108	76	63
109	76	62
110	76	61
111	76	60
112	76	59
113	76	57
114	77	56
115	77	55
116	77	54
117	77	53
118	77	52
119	77	51
120	77	50
121	78	49
122	78	49
123	78	48
124	78	47
125	78	46
126	78	45
127	79	44
128	79	43
129	79	42
130	79	41
131	79	41
132	79	40
133	80	39
134	80	38
135	80	37
136	80	37
137	80	36
138	80	35
139	80	34
140	81	33
141	81	33
142	81	32
143	81	31
144	81	31
145	81	30
146	82	29
147	82	28
148	82	28
149	82	27
150	82	26
151	82	26
152	83	25
153	83	24
154	83	24
155	83	23
156	83	22
157	83	22
158	84	21
159	84	21
160	84	20
161	84	19
162	84	19
163	84	18
164	85	18
165	85	17
166	85	16
167	85	16
168	85	15
169	85	15
170	86	14
171	86	14
172	86	13
173	86	12
174	86	12
175	86	11
176	87	11
177	87	10
178	87	10
179	87	9
180	87	9
181	87	8
182	88	8
183	88	7
184	88	7
185	88	6
186	88	6
187	88	5
188	89	5
189	89	4
190	89	4
191	89	3
192	89	3
193	89	2
194	90	2
195	90	1
196	90	1
197	90	0
198	90	0
199	90	0
