vehicle_id,day,maintenance_strategy,days_since_last_maintenance,maintenance_interval,last_maintenance_cost,engine_health,tire_wear,oil_quality,predicted_speed,predicted_fuel_efficiency,predicted_maintenance_cost,risk_level,vehicle_age,unexpected_failures,maintenance_quality_score
6,8,0,48,76,227.1561014858966,33.64369174048409,68.1143465035856,24.55565659139249,57.06374794727808,20.825738802949356,237.15,92.30848574257162,8,0,58.457571287141874
5,335,2,22,36,132.32925550444023,35.34985454430209,60.64527341735379,23.63362093148632,53.93938739684114,22.67472165053708,63.63,89.78243700591075,12,0,81.08781497044622
10,287,2,21,44,240.6540909786967,47.76039046085868,50.910879141224896,42.592927756014525,58.03150057322014,24.133028178686985,50.0,84.71445243894722,5,0,88.92773780526389
3,189,2,16,21,114.38997135689462,30.0,77.83059847115221,20.0,47.46179815416656,20.67004104317334,53.34,83.57806932314239,4,0,92.1096533842881
5,222,2,6,27,151.4018707302627,75.67505761515991,25.63318392838324,72.96922950253304,72.15221183201467,29.8313931389604,48.71,58.44903957796792,2,0,97.69928616361176
7,216,1,10,46,156.1201626475832,80.65668133743482,22.36057797305846,69.94557797918343,69.78483235009124,30.03761428781089,125.12,65.99340457559875,10,0,53.824570404207385
10,321,2,21,40,119.5638193156438,44.13616204138276,52.27109817693926,37.36608991195354,59.099279062335576,23.19910525712968,52.06,84.96942168959619,3,0,82.65289155201906
6,259,2,28,25,190.3943994402258,30.0,100.0,20.0,34.4419017782379,18.066875971122197,87.27,87.01401843564894,7,0,82.42990782175531
3,345,1,24,37,115.57130392175392,33.557390382924176,67.259611403706,20.0,53.54313969341733,21.47036856826449,72.28,90.03500755018595,10,0,74.8249622490702
6,133,0,57,98,391.2586442359416,39.12004721756366,56.89679691644076,25.827035478859383,55.50534703865674,23.051625294808105,442.86,95.95164537994728,12,0,50.24177310026359
3,303,0,33,74,370.98159217518185,52.164308239592025,44.8703908188481,50.95214046257631,60.02516898810403,25.178357862567065,365.27,96.8738733596427,4,1,50.63063320178652
3,88,0,83,73,299.23942488056787,30.0,100.0,20.0,37.4501206360646,19.58400625226039,262.76,88.63652114599371,4,0,66.81739427003146
10,23,0,96,61,341.26048960484354,30.0,100.0,20.0,20.0,19.287104245974835,439.82,90.63608876971824,12,0,76.81955615140882
6,346,1,38,58,291.0896382876135,39.29659196310245,64.78042431921736,20.0,55.400268987031,21.941061048064405,212.38,92.47275674247004,8,0,57.63621628764984
4,354,2,15,16,107.17955977229504,30.0,96.86104566305318,20.0,41.31100796535737,19.740227861213462,115.53,90.73515276245384,9,1,93.8242361877308
1,85,0,43,109,475.100842445948,56.73018355187694,40.08691229885767,56.38952432100819,67.07665348107363,26.892477613591844,364.58,92.19254775048792,7,0,56.5372612475604
3,207,1,34,54,100.83748872559156,34.77178219078684,61.48527271367041,24.97755722699779,57.698704132199104,21.99374186371662,50.0,87.51854468846386,7,0,79.90727655768066
3,124,0,75,115,215.3239789291889,37.762589047844415,61.775906669862266,21.321527235372457,52.81314961436242,20.940114702503887,277.58,95.06229774270136,2,1,54.68851128649329
1,349,0,70,115,477.1784311224742,34.696690356384266,57.178376602927074,26.797062953876207,56.90805968186438,22.34419438111456,308.03,87.42094950630778,1,0,65.39525246846108
2,266,2,7,37,123.55255745469034,83.04797095981306,20.88904905826155,73.09858795599186,74.94666209460446,31.15693930641621,67.87,54.42782159136589,13,0,84.0733427554537
10,201,1,43,35,115.4375060452936,30.0,100.0,20.0,30.556619543655884,18.921132015124517,233.49,97.73139538127528,10,1,61.34302309362352
2,282,1,41,47,279.3990578728822,30.0,83.40152158087946,20.0,44.55450352643389,20.37779617860337,258.61,95.2482155593382,11,0,51.25892220330903
7,309,1,10,50,232.62924979504177,80.64594081290322,18.789559098125075,74.55280022618183,70.93787240018285,31.284027238808687,163.7,56.77107422130202,13,0,66.59871918869
8,344,0,72,105,216.545068211547,34.588129322723496,68.21493107024999,20.0,55.52352438780959,21.39968965024532,346.85,95.60993695689945,15,0,59.45031521550274
7,171,0,55,101,353.2258290683719,43.370057130631935,55.63647520017143,37.19346794346669,56.00340929493888,22.83417719445136,233.46,89.20249683088082,1,0,56.487515845595865
10,214,2,13,34,146.83501201398258,62.530155781864345,34.80432035910826,55.44056197754811,63.56149102193935,27.83919947798765,62.39,85.73099075453271,10,0,96.34504622733644
4,356,1,41,47,209.4090691231156,30.0,91.27517915798656,20.0,47.76777428166527,18.673946199053148,196.91,92.213515391177,3,1,71.43242304411493
4,142,1,47,36,171.7243163907183,30.0,100.0,20.0,29.559462801871653,19.855868402474044,77.83,85.52907119662855,1,0,74.85464401685724
6,96,2,25,36,198.63157353587889,30.0,64.48362819395538,20.0,49.92985427146762,21.09070724465716,46.99,84.57983577419216,4,0,87.10082112903916
7,350,0,58,119,436.8687043416757,52.06819003782489,53.06453532929315,37.10723203098733,59.64765348969309,24.32972619021728,373.89,92.85676504076204,1,1,63.21617479618984
9,274,2,17,41,133.072255216752,63.26226772235103,45.00740976740314,46.29628256889944,65.85809315000394,26.184446368759755,94.0,89.71089832378458,7,1,93.94550838107712
3,301,2,8,31,141.70708286865818,77.70207596031773,24.26272198326481,66.33453499066027,72.36044305589907,29.784435066525404,50.0,64.32702577240482,5,0,91.99542629940996
8,302,2,15,15,88.02343928855443,30.0,100.0,20.0,37.86212575110528,19.896106563705786,60.23,88.1613276393367,13,0,91.69336180331648
4,350,0,80,94,468.2207476722705,30.0,82.46204232466842,20.0,46.474540933040686,20.068958205666185,421.42,92.21697264217536,6,0,53.9151367891232
3,38,0,51,114,340.4695318762958,59.24271005658704,41.74595550211839,45.29892338747956,62.927548478916506,26.294868555014663,302.42,92.24516990492349,9,0,61.27415047538259
8,293,0,45,100,396.7643172237574,55.96346497496776,42.676684371942976,49.352822530570194,62.217153675693226,25.68292848089709,281.58,91.60515504436157,5,0,54.47422477819213
3,153,0,77,72,434.8031703027796,30.0,100.0,20.0,37.89119133853742,18.29203381118421,339.17,88.48626036213253,1,0,60.06869818933736
1,145,0,72,83,386.4820157724756,30.0,90.9449136696016,20.0,46.56224441881808,19.12222496967848,349.23,91.35655883192616,8,0,63.21720584036922
10,174,2,27,27,241.5905795622496,30.0,96.93339233612052,20.0,41.95185041453789,20.03793225899639,59.4,84.09727895758061,7,0,97.01360521209692
6,68,2,20,20,224.59766976256967,30.0,100.0,20.0,42.22118014295345,19.90624922501593,98.55,85.25048624734272,10,0,98.7475687632864
5,155,0,74,97,353.60782659741534,30.0,77.81594103158668,20.0,50.93774213720103,19.781533625579826,300.15,91.32064408652144,6,0,58.396779567392805
4,316,1,26,58,248.45844629738943,51.84089957515922,49.44302343570765,41.87010749039479,61.2047758622348,24.177774231742426,89.04,86.93168949862691,5,0,77.84155250686544
3,289,0,77,64,483.3353633395536,30.0,100.0,20.0,33.728866497682255,18.397833627474448,484.96,91.54589118761628,7,0,59.7705440619186
2,63,1,18,50,231.8845924163996,66.27631137699689,32.2680179912676,56.42307871409029,64.678815722472,28.30682014739704,124.7,90.62102078902134,5,0,59.39489605489331
7,127,0,91,83,447.4857656761219,30.0,100.0,20.0,34.29231325343209,19.891259355497997,442.72,92.59383181471702,9,0,59.53084092641487
9,305,1,47,55,173.8272387618409,30.0,88.35585919180653,20.0,45.38629793281968,20.516633454026213,75.96,87.04623877097842,3,0,72.26880614510789
9,148,1,26,37,175.56784274543733,30.0,69.90836851701404,20.0,54.42063830919107,19.589250559185903,204.49,95.17304480350629,14,0,59.134775982468526
7,296,0,35,114,216.21852733662425,73.92557145264647,27.051539246681337,63.38797558306035,65.65380798280721,29.492730382406588,262.56,83.48200356617126,13,0,63.779943224016286
9,333,0,76,60,268.065713096018,30.0,100.0,20.0,32.01973015737117,19.58767182429723,420.38,99.59216020108356,10,1,52.03919899458211
1,112,0,86,72,342.1054805399099,30.0,100.0,20.0,31.746003643495136,19.53833973904717,444.35,91.87734633048194,15,0,78.1132683475903
9,59,2,28,41,194.3052533595896,36.2385182171121,71.85421914677588,20.0,54.49103917888978,21.001125433527413,116.7,87.57148176057487,14,0,97.14259119712564
3,11,0,30,87,299.9602663470784,62.92527954004208,31.405916348533164,59.78501574509949,65.85610061399753,27.699176953315646,216.01,89.62466879236172,6,0,66.87665603819141
